text,cat,dog,apple,lion,nyc,love
NYC is the Big Apple.,0,0,1,0,1,0
NYC is known as the Big Apple.,0,0,1,0,1,0
I love NYC!,0,0,0,0,1,1
I wore a hat to the Big Apple party in NYC.,0,0,1,0,1,0
Come to NYC. See the Big Apple!,0,0,1,0,1,0
Manhattan is called the Big Apple.,0,0,1,0,0,0
New York is a big city for a small cat.,1,0,0,0,0,0
The lion - a big cat - is the king of the jungle.,1,0,0,1,0,0
I love my pet cat.,1,0,0,0,0,1
I love New York City (NYC).,0,0,1,0,1,1
Your dog chased my cat.,1,1,0,0,0,0
